Component ID,Component Name,Skill Name,Keywords
24,ejs-multicolumncombobox,syncfusion-aspnetcore-dropdowns,"multicolumn combobox, tabular dropdown, grid dropdown, structured data"
25,ejs-datepicker,syncfusion-aspnetcore-calendars,"datepicker, date picker, single date, calendar, selection, popup, localization"
26,ejs-daterangepicker,syncfusion-aspnetcore-calendars,"date range picker, date range, range selection, preset ranges, start end date"
27,ejs-datetimepicker,syncfusion-aspnetcore-calendars,"datetime picker, date time, combined date time, time selector, calendar time"
28,ejs-timepicker,syncfusion-aspnetcore-calendars,"timepicker, time picker, time selection, 24-hour, 12-hour, time format"
29,ejs-calendar,syncfusion-aspnetcore-calendars,"calendar, date selection, month view, year view, decade view, multiple dates"
30,ejs-tab,syncfusion-aspnetcore-tabs,"tab, tabs, navigation, header, content switching, lazy loading, drag drop, reorder"
31,ejs-sidebar,syncfusion-aspnetcore-sidebar,"sidebar, navigation drawer, menu drawer, collapsible panel, responsive, dock, overlay, mobile menu, vertical navigation, sidebar navigation, collapsible menu, navigation menu, icons vertical"
32,ejs-dialog,syncfusion-aspnetcore-popups,"dialog, modal, popup, overlay, window, alert, confirmation, form, draggable, resizable"
33,ejs-tooltip,syncfusion-aspnetcore-popups,"tooltip, hover, contextual info, information, help text, popup, dynamic positioning"
34,ejs-carousel,syncfusion-aspnetcore-carousel,"carousel, slider, image slider, slideshow, swiper, gallery, auto-play, touch, swipe, indicators"
35,ejs-grid,syncfusion-aspnetcore-grid,"grid, data grid, table, data table, sorting, filtering, paging, editing, grouping, aggregation, virtualization, export, hierarchy, data table sortable filterable paginated, data grid table sortable, grid table"
36,ejs-chart,syncfusion-aspnetcore-charts,"chart, graph, visualization, data visualization, line, area, column, bar, pie, financial, analytics, dashboard, chart visualization bar line area column, chart area, visualization chart"
37,ejs-kanban,syncfusion-aspnetcore-kanban,"kanban, kanban board, card board, workflow, task management, drag drop, columns, swimlanes, agile, wip"
38,ejs-breadcrumb,syncfusion-aspnetcore-breadcrumb,"breadcrumb, navigation, hierarchical, path, breadcrumbs, routing, overflow, menu, parent page"
39,ejs-stepper,syncfusion-aspnetcore-stepper,"stepper, step, wizard, multi-step form, progress, workflow, linear, validation, onboarding, checkout"
40,ejs-splitter,syncfusion-aspnetcore-splitter,"splitter, layout, pane, resizable, panels, draggable, separator, multi-pane, nested, split view"
41,ejs-appbar,syncfusion-aspnetcore-appbar,"appbar, app bar, header, navigation bar, toolbar, action bar, responsive, sticky, branding, top bar, icon button header, notification header, notification icon, notification bell, badge header, profile menu header, top navigation, header navigation, fixed header, top bar logo, logo header, logo appbar, brand logo, company logo, image logo header, logo branding, page title, heading header, text header, label header, typography header, heading appbar, title appbar, text content appbar, content header, page heading"
42,ejs-treeview,syncfusion-aspnetcore-treeview,"treeview, tree, hierarchical, folder, nested, expandable, collapse, selection, hierarchy, parent-child, nodes"
43,ejs-toast,syncfusion-aspnetcore-notifications,"toast, notification, alert, toast notification, temporary, dismissible, action, close, notification badge, notification bell, notification icon, badge notification"
44,ejs-message,syncfusion-aspnetcore-notifications,"message, alert, notification, warning, error, success, info, dismissible"
45,ejs-skeleton,syncfusion-aspnetcore-notifications,"skeleton, skeleton loading, placeholder, loading state, content loading, shimmer, pulse"
46,ejs-treegrid,syncfusion-aspnetcore-treegrid,"treegrid, tree grid, hierarchical data, data table, sorting, filtering, paging, editing, aggregation, hierarchy"
47,ejs-pivotview,syncfusion-aspnetcore-pivot-table,"pivot, pivot table, pivot grid, data analysis, aggregation, grouping, summarization, drill-down, fieldlist, olap, business intelligence, bi, calculated fields, conditional formatting, excel export, kpi, metrics, dashboard, pivot chart, dimensions, measures, subtotal, grand total, crosstab"
48,ejs-schedule,syncfusion-aspnetcore-scheduler,"schedule, scheduler, calendar, appointment, event, meeting, recurring, resource scheduling, week view, month view, day view"
49,ejs-filemanager,syncfusion-aspnetcore-file-manager,"file manager, file explorer, directory, browse, upload, download, rename, delete, copy, cut, paste, folder structure, create, move, file system, grid view, list view, details view, view toggle, breadcrumb, navigation pane, tree view, hierarchical navigation, context menu, drag drop, multi-select, file icons, thumbnails, cloud storage, file provider, right-click, permissions, details pane"
50,ejs-diagram,syncfusion-aspnetcore-diagram,"diagram, flowchart, organizational chart, bpmn, uml, mindmap, shapes, connectors, nodes, layout, svg"
51,ejs-richtexteditor,syncfusion-aspnetcore-rich-text-editor,"rich text editor, wysiwyg, markdown, formatting, bold, italic, underline, headings, lists, media, images, video, tables, hyperlinks, code blocks, emoji, mentions, ai, word, pdf, html"
52,ejs-accumulationchart,syncfusion-aspnetcore-accumulation-chart,"accumulation chart, pie chart, doughnut, funnel, pyramid, market share, distribution, conversion, percentage, proportion, data labels, explode, legends, tooltips, drill-down, export, print"
53,ejs-chart3d,syncfusion-aspnetcore-3d-chart,"3d chart, 3d column, 3d bar, stacked column, stacked bar, rotation, tilt, depth, 3d rendering, axis, category, numeric, datetime, series, data labels, legends, tooltips, selection, export, print"
54,ejs-circularchart3d,syncfusion-aspnetcore-3d-circular-chart,"3d circular, 3d pie, 3d donut, proportional data, tilt, depth, perspective, data labels, legends, tooltips, empty point, responsive, export, print"
55,ejs-gantt,syncfusion-aspnetcore-gantt-chart,"gantt, gantt chart, project scheduling, timeline, task, dependency, milestone, baseline, critical path, resource, taskbar, task hierarchy, scheduling mode, task constraint, row virtualization, filtering, sorting, search, column, editing, undo, redo, export, excel, csv, pdf, zoom, holiday"
56,ejs-maps,syncfusion-aspnetcore-maps,"maps, geospatial, geojson, geospatial visualization, choropleth, markers, bubbles, layers, routes, navigation lines, legends, zoom, pan, projection, mercator, miller, aitoff, tooltips, selection, annotations, polygons, export, print, bing maps, openstreetmap, azure maps, location-based, map provider"
57,ejs-barcodegenerator,syncfusion-aspnetcore-barcode,"barcode, 1d barcode, code39, code128, code11, code32, code93, codabar, encoding, alphanumeric, numeric, retail, logistics, inventory, export, png, jpg, base64, svg, canvas"
58,ejs-qrcodegenerator,syncfusion-aspnetcore-barcode,"qr code, qr, 2d barcode, qrcode generator, encoding, url, contact, product link, metadata, version, error correction, data capacity, svg, canvas, export, print, mobile scanning"
59,ejs-datamatrixgenerator,syncfusion-aspnetcore-barcode,"data matrix, 2d barcode, matrix code, compact, high-density, encoding, industrial labeling, manufacturing, aerospace, healthcare, tracking, square, rectangular, svg, canvas, export, base64"
60,ejs-querybuilder,syncfusion-aspnetcore-query-builder,"query builder, rule-based, filter, filtering, advanced search, reporting, nested conditions, nested groups, and, or, operators, drag-and-drop, sql, mongodb, query generation, predicate, datamanager, validation, state persistence, custom templates, read-only, locked rules, horizontal, vertical, keyboard navigation"
61,ejs-heatmap,syncfusion-aspnetcore-heatmap,"heatmap, heat map, 2d visualization, matrix, grid, color intensity, gradient, palette, cell, row, column, pattern, trend, correlation, distribution, bubble heatmap, legends, tooltips, selection, export, print"
62,ejs-treemap,syncfusion-aspnetcore-treemaps,"treemap, tree map, hierarchical, nested data, rectangles, area-based, proportional, relationships, drill-down, layout, squarified, slice-and-dice, color mapping, legends, tooltips, selection, export, print, multi-level"
63,ejs-bulletchart,syncfusion-aspnetcore-bullet-chart,"bullet chart, kpi, key performance indicator, comparison, actual value, target value, comparative measure, qualitative ranges, performance tracking, dashboard, horizontal, vertical, target marker, feature measure, goal comparison, range, intervals, data labels"
64,ejs-timeline,syncfusion-aspnetcore-timeline,"timeline, chronological, events, steps, milestones, vertical, horizontal, alignment, dots, connectors, icons, images, content, activity feed, project milestones, process stages, shipping status, career history, roadmap, reverse order"
65,ejs-progressbar,syncfusion-aspnetcore-progress-bar,"progress bar, progress indicator, loading, task progress, completion status, linear, circular, semi-circular, determinate, indeterminate, buffer, file upload, data processing, workflow, loader, animation, labels, custom colors, gradient, striped, segmented, range-based coloring, responsive"
66,ejs-stockchart,syncfusion-aspnetcore-stock-chart,"stock chart, financial chart, time-series, candlestick, ohlc, hollow candlestick, hilo, trading, market data, stock prices, volume, technical indicators, moving average, sma, ema, tma, rsi, macd, stochastic, bollinger bands, atr, momentum, trend, period selector, range selector, range navigator, zoom, pan, trendlines, crosshair, export, print"
67,ejs-circulargauge,syncfusion-aspnetcore-circular-gauge,"circular gauge, gauge, kpi, key performance indicator, quantitative values, radial scale, monitoring, speedometer, sensor dashboard, percentage indicator, circular scale, axes, pointer, needle, range bar, marker, color-coded ranges, qualitative zones, annotations, legends, animations, real-time, responsive"
68,ejs-lineargauge,syncfusion-aspnetcore-linear-gauge,"linear gauge, gauge, horizontal, vertical, linear scale, temperature indicator, kpi, key performance indicator, sensor values, progress gauge, real-time monitoring, axes, pointer, bar pointer, marker pointer, circle, rectangle, triangle, diamond, image, text, color-coded ranges, qualitative zones, annotations, animations, drag, interactive"
69,ejs-rangenavigator,syncfusion-aspnetcore-range-navigator,"range navigator, range selection, interactive range, draggable sliders, draggable thumbs, filter, scroll, navigate, large datasets, time-series, financial data, numeric axis, datetime, logarithmic, period selector, line, area, stepline, lightweight mode, tooltips, labels, snapping, deferred updates, dashboard, analysis"
70,ejs-smithchart,syncfusion-aspnetcore-smithchart,"smithchart, smith chart, impedance, admittance, reflection coefficient, rf engineering, transmission line, antenna design, impedance matching, circular, resistance, aspnetcoreance, markers, data labels, tooltips, legends, series, grid, responsive"
71,ejs-sankey,syncfusion-aspnetcore-sankey,"sankey, sankey chart, flow visualization, node-link, source-target, flow magnitude, quantitative relationships, energy flows, process pipelines, data movement, resource allocation, hierarchical dependencies, link thickness, node labels, link styling, opacity, curvature, color, gradient, multi-level, hierarchical flows, tooltips, legends, interactive, event handling"
72,ejs-ribbon,syncfusion-aspnetcore-ribbon,"ribbon, ribbon bar, ribbon ui, command interface, tabbed toolbar, office ui, microsoft office, tabs, groups, items, button, checkbox, dropdown, split button, combobox, color picker, gallery, responsive, dual layout, classic, simplified, file menu, backstage, contextual tabs, keytips, keyboard navigation, office style ribbon, modern ribbon interface, contextual ribbon, customizable toolbar, extensible command bar, collapsible toolbar, productivity toolbar, enterprise toolbar, application ribbon, dynamic toolbar, plugin based toolbar, configurable menu, contextual command bar, grouped commands, dropdown menu, compact toolbar, expanded toolbar, modern command interface, adaptive command toolbar, unified toolbar, workflow toolbar, smart command interface, high density toolbar, ribbon component, productivity ribbon, advanced application toolbar, responsive toolbar, dual layout toolbar"
73,ejs-chatui,syncfusion-aspnetcore-chat-ui,"chat, chat ui, messaging, conversational ui, conversational workspace, real-time chat, realtime chat, live chat, streaming chat messages, ai chatbot, ai integrated chat, smart chat assistant, ai messaging assistant, customer support, helpdesk chat, enterprise chat, collaboration, collaborative chat, group chat, private chat, threaded conversation, message composer, rich message editor, markdown chat input, file attachments, voice messages, media messages, attachment support, file sharing chat, chat input toolbar, message list, conversation viewer, rich message rendering, markdown rendering chat, image message rendering, aspnetcoreion messages, typing indicator, user avatars, user presence, presence indicators, read receipts, delivery status, online status, chat notifications, push notifications chat, reply, forward, pin, delete, copy, drag-and-drop chat ui, mentions support, emoji messaging, modern chat ui, chat panel, chat sidebar, chat popup ui, floating chat widget, embedded chat ui, adaptive chat layout, enterprise messaging, realtime messaging, low latency chat, omnichannel chat, web chat, mobile friendly chat, cross platform chat, extensible chat component, ai powered chat, intelligent chat experience"
74,ejs-dropdowntree,syncfusion-aspnetcore-dropdown-tree,"dropdown tree, tree dropdown, hierarchical data selection, single select, multi-select, checkbox, nested data, categories, organizational hierarchy, file system, permission tree, lazy loading, data binding, flat data, nested data, odata, web api, datamanager, filtering, custom templates, keyboard navigation, auto-check, parent-child"
75,ejs-aiassistview,syncfusion-aspnetcore-ai-assistview,"ai assistview, ai assistant, ai chatbot, ai chat, ai copilot, enterprise ai copilot, conversational ui, generative ai ui, ai response streaming, markdown streaming, prompt suggestions, like dislike toolbar, ai feedback buttons, system instructions, rag ready, ai productivity assistant, ai knowledge assistant, ai document assistant, ai customer support, enterprise ai assistant, multimodal ai, ai command execution, ai tool calling, markdown converter, custom templates, prompt template, response template, ai prompt toolbar, ai response toolbar, typing indicator, stop responding, header toolbar, ai assistant panel, ai interaction ui, ai messaging interface, ai suggestion ui, ai smart assistant, ai writing assistant ui, ai adaptive response, ai prompt editor, ai query interface, ai inline assistant, ai message templates, ai prompt history, markdown ai response renderer, ai response customization, ai multi model support, ai web component, ai agent interaction, realtime ai interaction, ai voice interaction, ai integrated editor assistant, modern ai interface, interactive ai assistant, web based ai assistant, customizable ai assistant, extensible ai ui framework, ai command interface, prompt-response, streaming responses, real-time, ai service integration, openai, azure openai, llm, markdown, code blocks, file attachments, voice input, text-to-speech, speech-to-text, toolbar, templating, conversation history, state persistence, scroll management, multi-view layout"
76,ejs-inlineaiassist,syncfusion-aspnetcore-inline-ai-assist,"inline ai assist, context-aware ai, ai suggestions, content generation, inline popup, ai backend, openai, google gemini, ollama, local models, streaming responses, expand, response actions, prompt history, templating, toolbar, inline ai copilot, inline ai completion, inline ai writing assistant, inline ai code assistant, inline ai contextual assistant, inline ai editor integration, inline ai selection assistant, inline ai quick action assistant, inline ai slash command, inline ai rewrite assistant, inline ai autocomplete, inline ai grammar assist, inline ai transformation assistant, inline ai contextual actions, inline ai block editor, inline ai document assistant, inline ai knowledge assistant, inline ai productivity assistant, inline ai collaborative assistant, inline ai smart editor assistant, inline ai enterprise assistant, inline ai contextual copilot, inline ai component"
77,ejs-blockeditor,syncfusion-aspnetcore-blockeditor,"block-based editor, rich content editor, draggable blocks, document editor, paragraph, heading, list, table, code block, callout, quotes, to-do list, collapsible block, content block, menu, customizable, accessible, export, cms, rich text, authoring, content management, wysiwyg, block editor, editor, notion editor, notion like editor, content editor, contenteditable, text editor, writing tool, note editor, knowledge editor, article editor, blocks, block-based, nested blocks, hierarchical blocks, drag and drop blocks, block structure, block model, reorder blocks, block container, block schema, indented blocks, outline editor, note app, notes, knowledge base, wiki, documentation, doc builder, personal notes, team notes, page editor, information manager, content organizer, inline formatting, link insertion, image insertion, media embed, quote block, divider, drag handle, drag reorder, keyboard shortcuts, slash commands, context menu, inline toolbar, selection system, headless editor, json document editor, structured content, structured document, json schema editor, schema driven editor, document schema, content schema, modular editor, paste from word, floating menu, workspace editor, document workspace, team collaboration, knowledge workspace, wiki editor, note taking app, writing experience, block commands"
78,ejs-imageeditor,syncfusion-aspnetcore-image-editor,"image editor, image editing, crop, rotate, resize, annotation, filter, fine-tuning, layer, layer management, image format, toolbar, customizable, accessible, localization, browser image editing, photo editor, annotation tool, image preview, image manipulation"
79,ejs-speechtotext,syncfusion-aspnetcore-speech-to-text,"speech to text, voice input, dictation, voice recognition, speech recognition, voice command, voice typing, transcription, live transcription, real-time speech recognition, streaming speech to text, offline speech to text, ai speech recognition, natural language transcription, voice capture, multilingual speech to text, punctuation aware transcription, noise robust speech recognition, low latency speech recognition, cloud speech to text, browser speech recognition, ai voice typing assistant, voice interaction, speech enabled input, accessibility, web speech api, voice control, voice-driven interface, voice enabled editor, meeting transcription, enterprise speech to text, multimodal voice interface, audio streaming recognition"
80,div.e-card,syncfusion-aspnetcore-cards,"card, card layout, css card, header card, image card, caption card, action buttons card, horizontal card, vertical card, dashboard card, catalog card, profile card, content card, kpi card, kpi dashboard, responsive card, reusable card, card structure, card container, card content, card header, card image, card title, card description, card footer, card actions"
81,ejs-toolbar,syncfusion-aspnetcore-toolbar,"toolbar, command bar, navigation toolbar, action toolbar, horizontal toolbar, responsive toolbar, overflow menu, toolbar button, toolbar separator, toolbar input, toolbar link, toolbar toggle, toolbar tooltip, keyboard navigation, rtl support, custom template toolbar, toolbar styling, editor toolbar, dashboard toolbar, header toolbar, application toolbar, form toolbar"
82,ejs-accordion,syncfusion-aspnetcore-accordion,"accordion, collapsible panel, expandable panel, single expand accordion, multiple expand accordion, smooth animation accordion, dynamic accordion, templated accordion, keyboard navigation accordion, rtl accordion, accessibility accordion, faq accordion, settings panel accordion, forms accordion, dashboards accordion, navigation menu accordion"
83,ejs-contextmenu,syncfusion-aspnetcore-context-menu,"context menu, right-click menu, touch menu, popup menu, context-sensitive menu, hierarchical context menu, nested menu, menu icons, menu separator, menu template, menu animation, dynamic menu, menu data binding, menu api, menu events, accessibility context menu, keyboard navigation context menu, rtl context menu, editor context menu, file manager context menu, dashboard context menu, workflow context menu, contextual actions"
84,ejs-listview,syncfusion-aspnetcore-listview,"listview, list view, interactive list, data-driven list, local data listview, remote data listview, grouped listview, nested listview, custom template listview, listview selection, single select listview, multi select listview, drag drop listview, listview virtualization, large dataset listview, rich api listview, event handling listview, styling listview, accessibility listview, task manager listview, navigation menu listview, contact directory listview, dashboard listview, mobile friendly listview"
85,ejs-menu,syncfusion-aspnetcore-menu,"menu, navigation menu, hierarchical menu, multilevel menu, submenu, menu data binding, local data menu, remote data menu, custom template menu, menu icons, menu animation, dynamic menu, menu api, menu events, horizontal menu, vertical menu, hamburger menu, responsive menu, rtl menu, keyboard navigation menu, accessibility menu, application header menu, sidebar menu, toolbar menu, mobile menu, mobile navigation"
86,ejs-sparkline,syncfusion-aspnetcore-sparkline,"sparkline, sparkline chart, compact chart, high-density chart, inline chart, small chart, table sparkline, grid sparkline, dashboard sparkline, kpi sparkline, line sparkline, column sparkline, area sparkline, pie sparkline, win loss sparkline, sparkline markers, sparkline data labels, sparkline tooltips, range bands sparkline, axis customization sparkline, sparkline styling, sparkline theming, accessibility sparkline, rtl sparkline, trend sparkline, performance indicator sparkline, inline metrics sparkline"
87,ejs-pdfviewer,syncfusion-aspnetcore-pdf-viewer,"pdf viewer, pdf, document viewer, document, adobe, viewer, render pdf, pdf rendering, page navigation, zoom, text search, text selection, annotations, form fields, bookmarks, thumbnails, printing, downloading, pdf toolbar, accessibility, rtl, aspnetcore pdf viewer, document-centric, enterprise pdf, pdf review, pdf editing"
88,ejs-spreadsheet,syncfusion-aspnetcore-spreadsheet-editor,"spreadsheet, spreadsheet editor, excel, excel-like, spreadsheet UI, xlsx, xls, xlsb, csv, import, export, data binding, JSON, API, cell formatting, formulas, charts, validation, filtering, conditional formatting, virtualization, large datasets, productivity tools, financial, reporting, enterprise, data-intensive"
89,ejs-documenteditor,syncfusion-aspnetcore-docx-editor,"docx, docx editor, word, word document, document editor, microsoft word, rich text, formatting, tables, images, headers, footers, comments, track changes, revisions, form fields, document protection, find and replace, toolbar, collaborative, review, approval, content management, enterprise, document-centric"
